timestamp,abs_p,diff_p,p_alt
0,99796.422303,-0.023782,121.329920
1000,99796.416693,0.015635,121.317305
2000,99796.401510,-0.007222,121.318358
3000,99796.430058,0.002930,121.312219
4000,99796.412711,-0.001204,121.321252
5000,99796.423236,-0.017424,121.327493
6000,99796.412992,-0.029262,121.314282
7000,99796.422192,0.009870,121.327469
8000,99796.404543,0.003192,121.304480
9000,99796.401116,0.010955,121.314282
10000,99796.420521,-0.007273,121.318878
11000,99796.423852,-0.001626,121.319866
12000,99796.431907,0.004135,121.328077
13000,99796.416600,-0.007151,121.359540
14000,99796.411324,0.003988,121.303834
15000,99796.434432,0.007125,121.304991
16000,99796.416518,-0.005990,121.301445
17000,99796.424039,-0.006024,121.317866
18000,99796.430440,-0.000348,121.317012
19000,99796.417326,-0.004974,121.310041
20000,99796.422656,-0.005109,121.313337
21000,99796.416215,0.012867,121.310711
22000,99796.413157,0.024296,121.322849
23000,99796.424303,-0.007522,121.316722
24000,99796.434909,0.000879,121.310098
25000,99796.417479,-0.008145,121.312732
26000,99796.436522,0.023219,121.322446
27000,99796.410200,-0.006797,121.322767
28000,99796.414565,0.011165,121.308308
29000,99796.416277,0.016410,121.327066
30000,99796.428979,-0.006484,121.310330
31000,99796.412342,-0.012099,121.299293
32000,99796.401587,-0.013489,121.305348
33000,99796.417067,0.015102,121.318717
34000,99796.427510,-0.006317,121.318006
35000,99796.427572,0.003436,121.311063
36000,99796.411115,-0.002485,121.330804
37000,99796.423624,0.009170,121.317541
38000,99796.412143,-0.020577,121.316105
39000,99796.429468,-0.013127,121.313221
40000,99796.414477,-0.008235,121.321327
41000,99796.446417,0.010141,121.336272
42000,99796.409209,-0.021542,121.324537
43000,99796.411942,-0.007737,121.335258
44000,99796.411840,0.005209,121.331541
45000,99796.428447,-0.016558,121.311144
46000,99796.434539,-0.019518,121.321624
47000,99796.403736,0.007068,121.330417
48000,99796.405363,-0.008751,121.309788
49000,99796.410631,0.002840,121.312259
50000,99796.402561,-0.001295,121.328883
51000,99796.410672,-0.002220,121.321666
52000,99796.413236,-0.013741,121.330067
