timestamp,X,Y,Z
0,18348.693237,5021.732548,49516.515822
1000,18348.708206,5021.671150,49516.545052
2000,18348.725808,5021.733280,49516.578584
3000,18348.711873,5021.693858,49516.552131
4000,18348.728101,5021.721367,49516.524478
5000,18348.747022,5021.666468,49516.524286
6000,18348.741200,5021.721680,49516.573831
7000,18348.700879,5021.676833,49516.578258
8000,18348.761368,5021.727312,49516.525863
9000,18348.716968,5021.753874,49516.591381
10000,18348.747465,5021.740399,49516.520274
11000,18348.721135,5021.675060,49516.502241
12000,18348.759432,5021.683761,49516.545882
13000,18348.711298,5021.721247,49516.567244
14000,18348.752883,5021.720166,49516.613800
15000,18348.729800,5021.700453,49516.611244
16000,18348.766376,5021.673731,49516.564138
17000,18348.697546,5021.695346,49516.588217
18000,18348.691483,5021.669619,49516.529198
19000,18348.681496,5021.690143,49516.525138
20000,18348.773219,5021.736299,49516.532392
21000,18348.781643,5021.739510,49516.603957
22000,18348.718371,5021.702043,49516.543782
23000,18348.652724,5021.671116,49516.579380
24000,18348.683514,5021.706172,49516.531349
25000,18348.724910,5021.664040,49516.572513
26000,18348.697679,5021.682677,49516.578701
27000,18348.714161,5021.730171,49516.566148
28000,18348.783389,5021.682179,49516.569688
29000,18348.723687,5021.733666,49516.596220
30000,18348.703463,5021.709169,49516.551488
31000,18348.738651,5021.688723,49516.574669
32000,18348.740466,5021.713805,49516.576167
33000,18348.797407,5021.714573,49516.486766
34000,18348.687356,5021.724589,49516.594369
35000,18348.736788,5021.735657,49516.555717
36000,18348.777084,5021.742386,49516.577102
37000,18348.689518,5021.764310,49516.559046
38000,18348.744206,5021.702466,49516.509662
39000,18348.748560,5021.636015,49516.601202
40000,18348.685239,5021.699413,49516.551449
41000,18348.729494,5021.756060,49516.528131
42000,18348.743023,5021.686870,49516.559285
43000,18348.756085,5021.750743,49516.530006
44000,18348.756371,5021.688691,49516.554263
45000,18348.720812,5021.722013,49516.575042
46000,18348.710077,5021.663378,49516.541153
47000,18348.729836,5021.743302,49516.521837
48000,18348.731101,5021.728434,49516.517823
49000,18348.732553,5021.693991,49516.466345
50000,18348.718642,5021.661081,49516.641964
51000,18348.713990,5021.733296,49516.549289
52000,18348.709190,5021.703615,49516.522371
53000,18348.773187,5021.721904,49516.540071
54000,18348.710492,5021.665897,49516.544965
55000,18348.742493,5021.709513,49516.548491
56000,18348.745469,5021.647885,49516.529318
57000,18348.777665,5021.705284,49516.528629
58000,18348.784454,5021.711743,49516.576195
59000,18348.718689,5021.671989,49516.577088
60000,18348.701690,5021.732263,49516.579952
61000,18348.748874,5021.738490,49516.557049
62000,18348.736406,5021.673453,49516.604931
63000,18348.717326,5021.676039,49516.531336
64000,18348.664732,5021.720264,49516.571687
65000,18348.718657,5021.729379,49516.585222
66000,18348.767661,5021.726693,49516.626339
67000,18348.787773,5021.700733,49516.558383
68000,18348.709548,5021.676649,49516.540015
69000,18348.752662,5021.664707,49516.537492
70000,18348.681008,5021.697222,49516.515482
71000,18348.722295,5021.687841,49516.553433
72000,18348.694478,5021.724612,49516.560706
73000,18348.693885,5021.690549,49516.558346
74000,18348.723105,5021.686030,49516.527850
75000,18348.721375,5021.680402,49516.592934
76000,18348.721719,5021.726064,49516.591139
77000,18348.745527,5021.695969,49516.551313
78000,18348.716323,5021.698503,49516.579427
79000,18348.762927,5021.693482,49516.523178
80000,18348.805841,5021.719501,49516.544828
81000,18348.743326,5021.677235,49516.586142
82000,18348.707907,5021.710650,49516.539140
83000,18348.695490,5021.680334,49516.532016
84000,18348.770238,5021.714044,49516.600675
85000,18348.679867,5021.717306,49516.531961
86000,18348.700722,5021.738099,49516.593247
87000,18348.740812,5021.683973,49516.559651
88000,18348.676745,5021.708100,49516.553303
89000,18348.721819,5021.710103,49516.543009
90000,18348.693851,5021.693477,49516.529142
91000,18348.741582,5021.636549,49516.566400
92000,18348.689062,5021.687308,49516.553251
93000,18348.660816,5021.721045,49516.533791
94000,18348.745981,5021.732768,49516.527816
95000,18348.703789,5021.694240,49516.629275
96000,18348.732279,5021.723947,49516.540827
97000,18348.740796,5021.722510,49516.574425
98000,18348.717011,5021.696149,49516.539703
99000,18348.677303,5021.634555,49516.496449
100000,18348.724813,5021.704831,49516.510890
101000,18348.733886,5021.715711,49516.518020
102000,18348.739798,5021.711750,49516.578310
103000,18348.797391,5021.721040,49516.557070
104000,18348.708772,5021.705371,49516.524789
105000,18348.709349,5021.738343,49516.536594
106000,18348.769758,5021.712700,49516.551924
107000,18348.699248,5021.712149,49516.526842
108000,18348.721588,5021.702814,49516.566603
109000,18348.752665,5021.737675,49516.534630
110000,18348.730140,5021.716029,49516.488067
111000,18348.711580,5021.750653,49516.547639
112000,18348.738420,5021.698068,49516.528635
113000,18348.755564,5021.708979,49516.527667
114000,18348.739337,5021.671707,49516.593301
115000,18348.648093,5021.701672,49516.529699
116000,18348.717299,5021.691249,49516.565655
117000,18348.762574,5021.719564,49516.564421
118000,18348.702271,5021.678051,49516.543542
119000,18348.685898,5021.744858,49516.509780
120000,18348.745198,5021.704890,49516.625579
121000,18348.698269,5021.755353,49516.573029
122000,18348.748586,5021.738144,49516.591040
123000,18348.689738,5021.689073,49516.621637
124000,18348.743952,5021.717986,49516.550142
125000,18348.819205,5021.687246,49516.567490
126000,18348.684888,5021.734395,49516.572308
127000,18348.734164,5021.724968,49516.531082
128000,18348.731018,5021.692935,49516.584751
129000,18348.754227,5021.673964,49516.560631
130000,18348.757387,5021.691464,49516.564410
131000,18348.733433,5021.737305,49516.533928
132000,18348.674608,5021.719980,49516.530864
133000,18348.741339,5021.747773,49516.615752
134000,18348.746326,5021.710993,49516.551966
135000,18348.736116,5021.676376,49516.568064
136000,18348.752003,5021.737691,49516.565432
